Unit: dimensionless (ratio of electricity demand in this hour to annual demand),Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
Winter,0.00025922110308753847,0.0003194140142690744,0.00036965376137057277,0.00041209482776065516,0.00045502915432972144,0.0004507117471199912,0.00045851341285523906,0.0003224195396652334,0.0002808526588328601,0.0002463555894125379,0.00024496086696665684,0.00016794800978779418,0.00014086007511680823,0.00011874455152699767,0.00010296332223523498,0.00010065002711395432,9.573694788542366e-05,0.0001110270574868184,7.925215528884197e-05,7.983577740586428e-05,8.734462516744919e-05,0.0001070964151860979,0.0001430725999343901,0.00018525673414145628
Spring,6.197744839543745e-05,5.327490580078907e-05,5.0845835158040826e-05,5.0718711483287336e-05,5.200467839347537e-05,5.297106752733312e-05,5.5842697558092416e-05,5.126510029438482e-05,5.534092454800585e-05,6.339084898506595e-05,8.049395617622287e-05,9.539196005753736e-05,0.00011363148518785876,0.0001371068221698665,0.00015922446415147688,0.00017366502143301567,0.00018613063680368192,0.0001958107055196665,0.0001907511895914134,0.00017316781139559763,0.00015017824632677945,0.00012692947140292566,0.00010316147088628256,8.274723100072874e-05
Summer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall,3.140404867864445e-05,2.7064097663254908e-05,2.5062750036340448e-05,2.3909321471181846e-05,2.3739829105059467e-05,2.363031497813649e-05,2.4902178698731935e-05,2.483001691788298e-05,2.6640425326955583e-05,3.0468856729549327e-05,3.923409622578207e-05,4.531205628440271e-05,5.336761747432272e-05,6.143074903361017e-05,6.81057325983688e-05,7.308060434125477e-05,7.661762613704023e-05,8.016906370669875e-05,7.75557574676979e-05,6.880625176182357e-05,6.086249428404108e-05,5.357738702965845e-05,4.5329450433246683e-05,3.872908377503795e-05
Summer Peak 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer Peak 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer Peak 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer Peak 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summer Peak 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Peak 1,0.0009818719972956205,0.0010555015088701725,0.0011222993587140559,0.0011752300799039825,0.0012222616179157712,0.0011947172065407085,0.0010648346699513437,0.0008637319900234576,0.000785629931619101,0.0007033205523205401,0.0006670320606265338,0.0004967625936751521,0.0004010048635156874,0.0003203733872412916,0.0002424952353636206,0.00020785086528513975,0.00018423403123852194,0.00024960105695614137,0.000174678359556642,0.0002003424586408975,0.00022738126562714785,0.00031602368189744933,0.0004132471343325991,0.0005183045233497908
Winter Peak 2,0.0009563153845115818,0.0010310783879793302,0.001098007454865037,0.0011644674906225241,0.0012352437295004095,0.0011950103509958455,0.0009983774260458101,0.000844596636732896,0.0008049914249179111,0.0007425879500491291,0.0007199851166320899,0.0005535795727846092,0.00045658505220966174,0.0003754426670277414,0.0003066821452604171,0.0002695979757596103,0.00024745356443336633,0.000326800230438676,0.00025425228231098167,0.00028445342000517175,0.00031599017967400505,0.0003887095475116557,0.0004815330412677968,0.000573876336487904
Winter Peak 3,0.0008316954888549146,0.0009338493518402731,0.001009667675346515,0.0010922618235443518,0.0011714610797665067,0.0011367890703536845,0.0010526621954332742,0.0008815077114125742,0.00083818375279528,0.0007767322994427047,0.0007783794920953793,0.0006357689024491616,0.0005609947315735983,0.0004945933247071384,0.00044773208966452445,0.00042148868129987917,0.0004020685591100417,0.0004776021137170074,0.0004093273741896244,0.0004463166207240058,0.0004919103549796465,0.0005802333833864463,0.0006772334876653012,0.0008305340784421813
Winter Peak 4,0.0008715407999379164,0.000965514536698976,0.0010368798563390891,0.0011193902489783152,0.0011991367081833927,0.0011555475236304984,0.0010688186426892532,0.000912835082184881,0.000885399553036012,0.0008323683251757527,0.0008404954062129318,0.0006722891178553239,0.0005922215956755725,0.0005297204059884115,0.00047430772841165834,0.0004472518911284905,0.0004237137873069667,0.0005235113272434146,0.0004627159590999555,0.0005115426579179641,0.0005588059196419087,0.0006474053413921234,0.0007546403749331901,0.0008769206986526687
Winter Peak 5,0.0010464642840960921,0.0011669271121937212,0.001248038787004151,0.0013125249834303827,0.0013661257490891938,0.0013317468841315084,0.0013223104245280507,0.0011305074034578917,0.0010153602614800799,0.0009098757191139743,0.000908644512402399,0.0007509327955386955,0.0006565626158002125,0.0005869394117791993,0.0005363175521549707,0.0005115677845855472,0.0004964247795887562,0.0006016692226868449,0.0005267079977303846,0.0005853927257968574,0.0006440579108996544,0.0007209762240756482,0.0008028416989135731,0.0008703403035978315
